risk_id,risk_title,risk_description,department,risk_category,asset_type,risk_owner,likelihood,impact,asset_criticality,data_sensitivity,vulnerability_count,critical_vulnerability_count,past_incident_count,policy_violation_count,audit_finding_count,third_party_dependency,number_of_controls,control_effectiveness,control_test_pass_rate,days_since_control_test,open_control_deficiencies,regulatory_relevance,treatment_status,treatment_due_days,risk_accepted,days_open,inherent_risk_score,residual_risk_score,adjusted_risk_score,risk_level,action_status
R00960,Financial risk affecting hr platform,Potential financial event may affect the hr platform used by Procurement.,Procurement,Financial,HR Platform,M. Wijesinghe,4,3,5,4,2,1,0,5,1,0,5,0.846,0.844,345,1,Local Privacy Law,In Progress,-165,0,180,12,1.85,2.27,Low,Overdue
R00961,Access Management risk affecting hr platform,Potential access management event may affect the hr platform used by Information Technology.,Information Technology,Access Management,HR Platform,K. Fernando,4,3,3,3,9,3,0,5,1,0,4,0.512,0.375,128,4,None,Planned,-153,0,442,12,5.85,8.95,Medium,Overdue
R00962,Business Continuity risk affecting cloud service,Potential business continuity event may affect the cloud service used by Human Resources.,Human Resources,Business Continuity,Cloud Service,A. Perera,3,4,3,2,3,0,1,1,1,0,5,0.677,0.749,317,3,None,Implemented,-126,0,652,12,3.88,3.62,Low,Closed
R00963,Regulatory Compliance risk affecting payment system,Potential regulatory compliance event may affect the payment system used by Human Resources.,Human Resources,Regulatory Compliance,Payment System,D. Senanayake,4,3,5,3,10,0,0,3,3,0,3,0.851,0.978,221,3,ISO 27001,Implemented,-63,0,810,12,1.79,5.24,Low,Closed
R00964,Operational risk affecting hr platform,Potential operational event may affect the hr platform used by Finance.,Finance,Operational,HR Platform,D. Senanayake,2,3,2,2,2,2,2,0,2,1,6,0.737,0.769,204,3,None,In Progress,237,0,109,6,1.58,2.59,Low,Open
R00965,Operational risk affecting web application,Potential operational event may affect the web application used by Sales.,Sales,Operational,Web Application,K. Fernando,2,5,3,4,1,1,2,1,2,1,2,0.539,0.6,369,4,GDPR,Risk Accepted,-54,1,537,10,4.61,6.54,Medium,Open
R00966,Financial risk affecting database,Potential financial event may affect the database used by Information Technology.,Information Technology,Financial,Database,M. Wijesinghe,4,4,3,5,2,1,2,4,1,0,3,0.922,0.923,289,0,SOX,Planned,160,0,469,16,1.25,3.21,Low,Open
R00967,Third-Party risk affecting endpoint fleet,Potential third-party event may affect the endpoint fleet used by Information Technology.,Information Technology,Third-Party,Endpoint Fleet,D. Senanayake,1,3,4,3,2,0,1,3,6,1,5,0.891,0.83,290,1,NIST CSF,Not Started,-100,0,494,3,0.33,3.82,Low,Overdue
R00968,Third-Party risk affecting hr platform,Potential third-party event may affect the hr platform used by Finance.,Finance,Third-Party,HR Platform,S. Jayasinghe,3,1,2,4,14,1,0,1,1,1,7,0.934,0.985,483,1,NIST CSF,Implemented,-303,0,819,3,0.2,2.06,Low,Closed
R00969,Cybersecurity risk affecting vendor service,Potential cybersecurity event may affect the vendor service used by Customer Support.,Customer Support,Cybersecurity,Vendor Service,S. Jayasinghe,2,3,2,3,14,1,0,2,1,1,4,0.86,0.778,279,1,SOX,Implemented,-297,0,299,6,0.84,4.2,Low,Closed
R00970,Operational risk affecting hr platform,Potential operational event may affect the hr platform used by Sales.,Sales,Operational,HR Platform,M. Wijesinghe,3,4,2,3,2,1,0,1,8,0,4,0.678,0.476,289,1,ISO 27001,Implemented,-9,0,758,12,3.87,4.28,Low,Closed
R00971,Access Management risk affecting erp system,Potential access management event may affect the erp system used by Operations.,Operations,Access Management,ERP System,S. Jayasinghe,1,2,4,4,14,2,0,1,2,0,2,0.784,0.712,349,1,Local Privacy Law,In Progress,-105,0,616,2,0.43,3.09,Low,Overdue
R00972,Access Management risk affecting network infrastructure,Potential access management event may affect the network infrastructure used by Customer Support.,Customer Support,Access Management,Network Infrastructure,K. Fernando,2,4,3,3,7,0,1,2,1,0,1,0.872,0.983,237,0,None,Not Started,-61,0,606,8,1.02,-0.04,Low,Overdue
R00973,Regulatory Compliance risk affecting hr platform,Potential regulatory compliance event may affect the hr platform used by Sales.,Sales,Regulatory Compliance,HR Platform,N. Silva,3,2,4,4,18,3,1,1,7,0,7,0.952,0.817,406,2,NIST CSF,Implemented,-349,0,258,6,0.29,6.14,Medium,Closed
R00974,Access Management risk affecting erp system,Potential access management event may affect the erp system used by Sales.,Sales,Access Management,ERP System,S. Jayasinghe,3,4,3,2,9,1,1,3,6,0,3,0.902,0.971,392,0,None,In Progress,5,0,179,12,1.18,2.91,Low,Open
R00975,Operational risk affecting database,Potential operational event may affect the database used by Operations.,Operations,Operational,Database,D. Senanayake,2,2,3,4,3,1,0,0,6,1,5,0.636,0.619,475,3,PCI DSS,In Progress,227,0,434,4,1.45,3.37,Low,Open
R00976,Access Management risk affecting payment system,Potential access management event may affect the payment system used by Information Technology.,Information Technology,Access Management,Payment System,M. Wijesinghe,3,3,4,2,3,0,2,2,5,0,7,0.648,0.714,208,2,None,In Progress,-176,0,580,9,3.17,4.8,Low,Overdue
R00977,Regulatory Compliance risk affecting payment system,Potential regulatory compliance event may affect the payment system used by Procurement.,Procurement,Regulatory Compliance,Payment System,A. Perera,2,5,4,3,4,2,1,1,2,0,2,0.928,1.0,242,2,Local Privacy Law,In Progress,41,0,242,10,0.72,3.33,Low,Open
R00978,Access Management risk affecting cloud service,Potential access management event may affect the cloud service used by Finance.,Finance,Access Management,Cloud Service,S. Jayasinghe,2,2,5,2,3,0,0,0,2,0,3,0.657,0.712,71,1,ISO 27001,Planned,-39,0,111,4,1.37,1.25,Low,Overdue
R00979,Access Management risk affecting erp system,Potential access management event may affect the erp system used by Human Resources.,Human Resources,Access Management,ERP System,M. Wijesinghe,2,5,2,3,29,1,0,1,1,0,2,0.519,0.379,384,2,None,Planned,57,0,685,10,4.81,4.31,Low,Open
R00980,Business Continuity risk affecting web application,Potential business continuity event may affect the web application used by Customer Support.,Customer Support,Business Continuity,Web Application,N. Silva,1,3,2,3,12,1,1,2,1,0,3,0.59,0.274,497,1,None,Implemented,-341,0,749,3,1.23,2.11,Low,Closed
R00981,Cybersecurity risk affecting cloud service,Potential cybersecurity event may affect the cloud service used by Legal.,Legal,Cybersecurity,Cloud Service,S. Jayasinghe,2,1,4,2,12,3,0,1,0,0,6,0.686,0.666,80,3,None,Planned,28,0,405,2,0.63,3.1,Low,Open
R00982,Financial risk affecting web application,Potential financial event may affect the web application used by Customer Support.,Customer Support,Financial,Web Application,S. Jayasinghe,4,2,3,3,4,0,0,1,2,0,6,0.781,0.683,155,2,ISO 27001,Planned,-173,0,504,8,1.75,5.39,Low,Overdue
R00983,Third-Party risk affecting cloud service,Potential third-party event may affect the cloud service used by Sales.,Sales,Third-Party,Cloud Service,T. Karunaratne,1,3,2,1,8,0,0,0,0,1,6,0.755,0.804,448,1,None,In Progress,70,0,649,3,0.73,0.01,Low,Open
R00984,Access Management risk affecting cloud service,Potential access management event may affect the cloud service used by Human Resources.,Human Resources,Access Management,Cloud Service,S. Jayasinghe,3,2,4,3,7,1,0,1,4,1,3,0.351,0.438,180,5,None,Implemented,-252,0,265,6,3.89,7.85,Medium,Closed
R00985,Business Continuity risk affecting cloud service,Potential business continuity event may affect the cloud service used by Operations.,Operations,Business Continuity,Cloud Service,R. Gunawardena,1,3,2,3,20,1,1,2,1,0,7,0.328,0.342,381,3,None,Planned,-90,0,694,3,2.02,6.42,Medium,Overdue
R00986,Financial risk affecting database,Potential financial event may affect the database used by Procurement.,Procurement,Financial,Database,A. Perera,3,5,4,4,3,0,3,2,2,1,7,0.851,0.795,493,0,NIST CSF,Not Started,80,0,331,15,2.24,5.8,Medium,Open
R00987,Access Management risk affecting network infrastructure,Potential access management event may affect the network infrastructure used by Procurement.,Procurement,Access Management,Network Infrastructure,R. Gunawardena,2,4,5,4,3,1,2,3,1,0,5,0.644,0.628,113,3,NIST CSF,Implemented,54,0,193,8,2.85,4.9,Low,Closed
R00988,Operational risk affecting database,Potential operational event may affect the database used by Procurement.,Procurement,Operational,Database,M. Wijesinghe,4,3,5,4,6,1,0,1,2,0,5,0.703,0.614,24,2,NIST CSF,Planned,200,0,727,12,3.56,3.97,Low,Open
R00989,Business Continuity risk affecting erp system,Potential business continuity event may affect the erp system used by Information Technology.,Information Technology,Business Continuity,ERP System,K. Fernando,1,3,4,4,3,1,0,2,4,1,4,0.864,0.801,97,1,SOX,In Progress,99,0,871,3,0.41,4.75,Low,Open
R00990,Regulatory Compliance risk affecting database,Potential regulatory compliance event may affect the database used by Information Technology.,Information Technology,Regulatory Compliance,Database,S. Jayasinghe,4,5,3,3,4,0,1,0,3,0,2,0.515,0.643,344,2,SOX,Risk Accepted,-126,1,60,20,9.7,10.69,High,Open
R00991,Operational risk affecting vendor service,Potential operational event may affect the vendor service used by Sales.,Sales,Operational,Vendor Service,T. Karunaratne,1,4,5,3,5,1,1,3,3,1,3,0.748,0.648,274,3,None,Planned,223,0,598,4,1.01,4.08,Low,Open
R00992,Business Continuity risk affecting payment system,Potential business continuity event may affect the payment system used by Legal.,Legal,Business Continuity,Payment System,R. Gunawardena,2,2,2,4,2,2,1,3,0,0,2,0.84,1.0,452,2,ISO 27001,In Progress,-28,0,52,4,0.64,2.51,Low,Overdue
R00993,Cybersecurity risk affecting payment system,Potential cybersecurity event may affect the payment system used by Information Technology.,Information Technology,Cybersecurity,Payment System,S. Jayasinghe,4,3,2,4,16,2,0,2,3,0,5,0.657,0.62,344,2,PCI DSS,Not Started,107,0,284,12,4.12,6.94,Medium,Open
R00994,Third-Party risk affecting network infrastructure,Potential third-party event may affect the network infrastructure used by Procurement.,Procurement,Third-Party,Network Infrastructure,S. Jayasinghe,3,4,3,3,5,0,1,1,4,1,2,0.593,0.514,113,3,GDPR,In Progress,171,0,409,12,4.88,7.9,Medium,Open
R00995,Operational risk affecting web application,Potential operational event may affect the web application used by Sales.,Sales,Operational,Web Application,D. Senanayake,2,3,3,3,3,2,0,1,0,0,6,0.564,0.499,494,3,SOX,Implemented,-215,0,845,6,2.62,5.11,Low,Closed
R00996,Access Management risk affecting database,Potential access management event may affect the database used by Customer Support.,Customer Support,Access Management,Database,A. Perera,2,3,3,3,5,1,1,0,0,0,6,0.882,0.996,293,0,None,In Progress,168,0,120,6,0.71,0.95,Low,Open
R00997,Third-Party risk affecting cloud service,Potential third-party event may affect the cloud service used by Information Technology.,Information Technology,Third-Party,Cloud Service,R. Gunawardena,3,3,3,5,5,0,0,2,1,1,6,0.568,0.568,231,2,SOX,Not Started,41,0,118,9,3.89,7.07,Medium,Open
R00998,Cybersecurity risk affecting cloud service,Potential cybersecurity event may affect the cloud service used by Sales.,Sales,Cybersecurity,Cloud Service,D. Senanayake,3,3,4,1,15,0,0,4,1,0,6,0.613,0.603,402,3,None,Implemented,-364,0,335,9,3.49,5.61,Medium,Closed
R00999,Regulatory Compliance risk affecting network infrastructure,Potential regulatory compliance event may affect the network infrastructure used by Operations.,Operations,Regulatory Compliance,Network Infrastructure,K. Fernando,2,5,3,3,6,1,2,3,3,0,7,0.558,0.592,465,2,NIST CSF,Planned,148,0,457,10,4.42,6.1,Medium,Open
R01000,Cybersecurity risk affecting database,Potential cybersecurity event may affect the database used by Operations.,Operations,Cybersecurity,Database,M. Wijesinghe,2,4,2,4,6,0,0,0,1,1,6,0.758,0.773,413,2,ISO 27001,In Progress,96,0,689,8,1.94,3.42,Low,Open
R01001,Access Management risk affecting payment system,Potential access management event may affect the payment system used by Customer Support.,Customer Support,Access Management,Payment System,D. Senanayake,4,3,5,3,2,0,1,1,3,1,1,0.292,0.24,410,4,NIST CSF,In Progress,-144,0,480,12,8.5,10.82,High,Overdue
R01002,Cybersecurity risk affecting database,Potential cybersecurity event may affect the database used by Operations.,Operations,Cybersecurity,Database,T. Karunaratne,3,2,3,4,8,1,2,0,3,1,2,0.376,0.27,96,2,SOX,Implemented,-181,0,490,6,3.75,6.54,Medium,Closed
R01003,Access Management risk affecting cloud service,Potential access management event may affect the cloud service used by Information Technology.,Information Technology,Access Management,Cloud Service,T. Karunaratne,1,2,4,4,4,2,1,1,1,0,6,0.774,0.656,70,2,Local Privacy Law,In Progress,103,0,250,2,0.45,2.74,Low,Open
R01004,Regulatory Compliance risk affecting vendor service,Potential regulatory compliance event may affect the vendor service used by Human Resources.,Human Resources,Regulatory Compliance,Vendor Service,M. Wijesinghe,2,3,5,4,17,1,1,1,1,1,4,0.334,0.194,96,4,GDPR,Planned,-44,0,37,6,4.0,6.89,Medium,Overdue
R01005,Data Privacy risk affecting erp system,Potential data privacy event may affect the erp system used by Finance.,Finance,Data Privacy,ERP System,T. Karunaratne,3,5,4,3,2,2,1,1,3,0,3,0.863,0.816,308,1,SOX,Planned,45,0,457,15,2.05,4.22,Low,Open
R01006,Data Privacy risk affecting hr platform,Potential data privacy event may affect the hr platform used by Finance.,Finance,Data Privacy,HR Platform,R. Gunawardena,2,3,3,2,3,2,0,3,1,0,2,0.584,0.624,210,4,NIST CSF,In Progress,147,0,765,6,2.5,4.36,Low,Open
R01007,Operational risk affecting endpoint fleet,Potential operational event may affect the endpoint fleet used by Customer Support.,Customer Support,Operational,Endpoint Fleet,A. Perera,3,1,2,1,5,1,1,2,1,1,7,0.81,0.683,21,0,None,In Progress,215,0,14,3,0.57,1.71,Low,Open
R01008,Regulatory Compliance risk affecting hr platform,Potential regulatory compliance event may affect the hr platform used by Information Technology.,Information Technology,Regulatory Compliance,HR Platform,A. Perera,3,5,3,4,1,1,3,1,0,1,4,0.742,0.838,197,0,GDPR,Implemented,-282,0,522,15,3.87,5.0,Low,Closed
R01009,Data Privacy risk affecting erp system,Potential data privacy event may affect the erp system used by Customer Support.,Customer Support,Data Privacy,ERP System,T. Karunaratne,4,4,4,4,8,1,4,0,2,0,7,0.507,0.509,394,1,SOX,Planned,-63,0,520,16,7.89,12.06,High,Overdue
R01010,Third-Party risk affecting payment system,Potential third-party event may affect the payment system used by Operations.,Operations,Third-Party,Payment System,R. Gunawardena,3,3,3,3,1,1,1,4,1,1,4,0.728,0.858,326,0,None,Not Started,136,0,738,9,2.45,5.33,Low,Open
R01011,Operational risk affecting vendor service,Potential operational event may affect the vendor service used by Information Technology.,Information Technology,Operational,Vendor Service,T. Karunaratne,4,2,4,3,1,0,0,2,2,1,2,0.849,0.984,122,1,None,Planned,-100,0,387,8,1.21,3.38,Low,Overdue
R01012,Financial risk affecting web application,Potential financial event may affect the web application used by Legal.,Legal,Financial,Web Application,T. Karunaratne,1,4,2,2,4,1,3,1,1,0,5,0.634,0.709,29,3,PCI DSS,Planned,-100,0,796,4,1.46,4.57,Low,Overdue
R01013,Regulatory Compliance risk affecting erp system,Potential regulatory compliance event may affect the erp system used by Operations.,Operations,Regulatory Compliance,ERP System,M. Wijesinghe,1,3,4,3,2,1,5,2,0,0,3,0.75,0.826,215,1,SOX,Planned,-17,0,762,3,0.75,4.41,Low,Overdue
R01014,Third-Party risk affecting vendor service,Potential third-party event may affect the vendor service used by Information Technology.,Information Technology,Third-Party,Vendor Service,S. Jayasinghe,5,2,4,3,1,1,0,0,1,1,4,0.466,0.536,232,3,None,Risk Accepted,60,1,362,10,5.34,8.05,Medium,Open
R01015,Cybersecurity risk affecting erp system,Potential cybersecurity event may affect the erp system used by Sales.,Sales,Cybersecurity,ERP System,R. Gunawardena,5,5,4,3,19,0,1,1,1,0,6,0.812,0.655,353,1,SOX,In Progress,32,0,37,25,4.71,2.82,Low,Open
R01016,Access Management risk affecting vendor service,Potential access management event may affect the vendor service used by Operations.,Operations,Access Management,Vendor Service,K. Fernando,3,1,4,2,4,1,0,1,1,1,6,0.923,1.0,107,0,None,In Progress,194,0,55,3,0.23,0.97,Low,Open
R01017,Third-Party risk affecting endpoint fleet,Potential third-party event may affect the endpoint fleet used by Information Technology.,Information Technology,Third-Party,Endpoint Fleet,T. Karunaratne,2,1,4,4,9,0,1,1,4,1,7,0.853,1.0,290,0,NIST CSF,Risk Accepted,-27,1,757,2,0.29,3.7,Low,Open
R01018,Regulatory Compliance risk affecting erp system,Potential regulatory compliance event may affect the erp system used by Information Technology.,Information Technology,Regulatory Compliance,ERP System,N. Silva,4,5,4,4,4,0,1,2,2,0,1,0.586,0.387,156,3,ISO 27001,Implemented,-195,0,398,20,8.27,9.61,High,Closed
R01019,Operational risk affecting hr platform,Potential operational event may affect the hr platform used by Sales.,Sales,Operational,HR Platform,S. Jayasinghe,3,2,5,4,5,0,5,1,1,1,1,0.673,0.677,353,1,PCI DSS,In Progress,-158,0,389,6,1.96,5.95,Medium,Overdue
R01020,Regulatory Compliance risk affecting hr platform,Potential regulatory compliance event may affect the hr platform used by Human Resources.,Human Resources,Regulatory Compliance,HR Platform,K. Fernando,1,4,2,5,1,1,1,3,0,1,4,0.604,0.519,456,2,NIST CSF,Planned,151,0,504,4,1.58,5.3,Low,Open
R01021,Third-Party risk affecting cloud service,Potential third-party event may affect the cloud service used by Sales.,Sales,Third-Party,Cloud Service,M. Wijesinghe,3,1,1,3,4,1,0,3,1,1,7,0.604,0.675,481,2,PCI DSS,Planned,147,0,402,3,1.19,4.23,Low,Open
R01022,Business Continuity risk affecting database,Potential business continuity event may affect the database used by Finance.,Finance,Business Continuity,Database,R. Gunawardena,3,4,3,4,3,1,1,0,4,0,6,0.776,0.863,295,1,SOX,Implemented,-322,0,423,12,2.69,3.3,Low,Closed
R01023,Cybersecurity risk affecting hr platform,Potential cybersecurity event may affect the hr platform used by Customer Support.,Customer Support,Cybersecurity,HR Platform,M. Wijesinghe,4,4,3,4,11,0,3,1,2,0,7,0.461,0.358,260,2,GDPR,In Progress,169,0,254,16,8.63,9.93,High,Open
R01024,Third-Party risk affecting payment system,Potential third-party event may affect the payment system used by Sales.,Sales,Third-Party,Payment System,K. Fernando,1,5,3,4,3,0,1,2,4,1,7,0.233,0.247,366,6,NIST CSF,Planned,-69,0,485,5,3.84,8.15,Medium,Overdue
R01025,Regulatory Compliance risk affecting vendor service,Potential regulatory compliance event may affect the vendor service used by Finance.,Finance,Regulatory Compliance,Vendor Service,N. Silva,2,4,2,4,4,0,1,1,0,1,5,0.15,0.133,344,3,GDPR,Implemented,-78,0,147,8,6.8,7.41,Medium,Closed
R01026,Data Privacy risk affecting cloud service,Potential data privacy event may affect the cloud service used by Sales.,Sales,Data Privacy,Cloud Service,K. Fernando,5,3,3,2,5,0,0,0,2,0,5,0.395,0.408,114,2,Local Privacy Law,Not Started,-78,0,765,15,9.08,11.27,High,Overdue
R01027,Financial risk affecting cloud service,Potential financial event may affect the cloud service used by Sales.,Sales,Financial,Cloud Service,T. Karunaratne,3,2,3,2,15,1,0,1,0,0,7,0.74,0.644,262,1,SOX,Implemented,0,0,178,6,1.56,2.65,Low,Closed
R01028,Business Continuity risk affecting erp system,Potential business continuity event may affect the erp system used by Human Resources.,Human Resources,Business Continuity,ERP System,R. Gunawardena,3,3,3,3,4,1,2,1,3,0,5,0.564,0.462,346,3,PCI DSS,In Progress,234,0,332,9,3.93,4.99,Low,Open
R01029,Data Privacy risk affecting endpoint fleet,Potential data privacy event may affect the endpoint fleet used by Procurement.,Procurement,Data Privacy,Endpoint Fleet,R. Gunawardena,4,2,2,4,1,1,2,1,1,0,7,0.626,0.613,62,2,SOX,Planned,-102,0,803,8,2.99,4.87,Low,Overdue
R01030,Financial risk affecting endpoint fleet,Potential financial event may affect the endpoint fleet used by Information Technology.,Information Technology,Financial,Endpoint Fleet,A. Perera,3,2,4,3,8,1,1,1,2,1,6,0.655,0.656,415,1,NIST CSF,In Progress,64,0,608,6,2.07,6.63,Medium,Open
R01031,Business Continuity risk affecting vendor service,Potential business continuity event may affect the vendor service used by Finance.,Finance,Business Continuity,Vendor Service,A. Perera,3,4,2,4,0,0,1,1,4,1,5,0.603,0.658,164,1,PCI DSS,Implemented,-341,0,512,12,4.77,6.27,Medium,Closed
R01032,Data Privacy risk affecting erp system,Potential data privacy event may affect the erp system used by Finance.,Finance,Data Privacy,ERP System,M. Wijesinghe,2,2,4,2,1,0,1,1,3,0,3,0.542,0.472,328,4,PCI DSS,Planned,114,0,112,4,1.83,3.82,Low,Open
R01033,Business Continuity risk affecting vendor service,Potential business continuity event may affect the vendor service used by Customer Support.,Customer Support,Business Continuity,Vendor Service,A. Perera,3,3,5,5,4,2,1,1,0,1,6,0.365,0.448,341,3,SOX,Not Started,-88,0,294,9,5.72,8.69,Medium,Overdue
R01034,Third-Party risk affecting cloud service,Potential third-party event may affect the cloud service used by Sales.,Sales,Third-Party,Cloud Service,S. Jayasinghe,4,3,4,2,6,0,4,1,1,1,4,0.771,0.805,337,2,None,Planned,173,0,422,12,2.74,7.32,Medium,Open
R01035,Access Management risk affecting web application,Potential access management event may affect the web application used by Operations.,Operations,Access Management,Web Application,A. Perera,3,5,3,4,7,0,0,1,2,1,6,0.731,0.748,33,0,NIST CSF,Risk Accepted,-138,1,548,15,4.03,4.72,Low,Open
R01036,Regulatory Compliance risk affecting endpoint fleet,Potential regulatory compliance event may affect the endpoint fleet used by Finance.,Finance,Regulatory Compliance,Endpoint Fleet,T. Karunaratne,4,3,3,2,6,1,0,2,1,0,2,0.855,0.903,358,1,GDPR,Implemented,-184,0,369,12,1.74,1.61,Low,Closed
R01037,Operational risk affecting network infrastructure,Potential operational event may affect the network infrastructure used by Sales.,Sales,Operational,Network Infrastructure,S. Jayasinghe,1,2,2,4,9,1,0,3,1,0,1,0.482,0.575,341,3,GDPR,Implemented,-93,0,773,2,1.04,4.3,Low,Closed
R01038,Third-Party risk affecting database,Potential third-party event may affect the database used by Operations.,Operations,Third-Party,Database,M. Wijesinghe,3,4,3,2,2,1,0,3,1,1,7,0.752,0.815,500,2,PCI DSS,Not Started,-141,0,467,12,2.98,4.38,Low,Overdue
R01039,Financial risk affecting vendor service,Potential financial event may affect the vendor service used by Procurement.,Procurement,Financial,Vendor Service,S. Jayasinghe,4,1,3,2,7,2,2,1,3,1,4,0.67,0.501,493,3,Local Privacy Law,In Progress,190,0,261,4,1.32,5.76,Medium,Open
R01040,Cybersecurity risk affecting endpoint fleet,Potential cybersecurity event may affect the endpoint fleet used by Operations.,Operations,Cybersecurity,Endpoint Fleet,D. Senanayake,1,3,2,4,16,2,0,2,2,0,6,0.794,0.79,388,0,GDPR,Planned,170,0,194,3,0.62,-0.31,Low,Open
R01041,Data Privacy risk affecting network infrastructure,Potential data privacy event may affect the network infrastructure used by Procurement.,Procurement,Data Privacy,Network Infrastructure,N. Silva,2,4,3,5,8,0,0,0,2,0,5,0.263,0.353,54,3,GDPR,Implemented,-66,0,853,8,5.9,7.08,Medium,Closed
R01042,Financial risk affecting web application,Potential financial event may affect the web application used by Information Technology.,Information Technology,Financial,Web Application,R. Gunawardena,1,2,3,1,4,2,1,1,2,0,7,0.614,0.559,330,2,Local Privacy Law,In Progress,-141,0,223,2,0.77,3.85,Low,Overdue
R01043,Cybersecurity risk affecting network infrastructure,Potential cybersecurity event may affect the network infrastructure used by Information Technology.,Information Technology,Cybersecurity,Network Infrastructure,A. Perera,3,3,2,3,7,1,1,1,1,1,1,0.709,0.722,387,0,Local Privacy Law,Planned,-18,0,541,9,2.62,3.72,Low,Overdue
R01044,Financial risk affecting vendor service,Potential financial event may affect the vendor service used by Operations.,Operations,Financial,Vendor Service,R. Gunawardena,3,1,2,4,5,2,2,1,0,1,6,0.547,0.53,424,2,NIST CSF,Planned,-168,0,324,3,1.36,1.77,Low,Overdue
R01045,Access Management risk affecting network infrastructure,Potential access management event may affect the network infrastructure used by Finance.,Finance,Access Management,Network Infrastructure,R. Gunawardena,2,3,1,3,1,1,0,4,1,0,1,0.671,0.649,127,2,NIST CSF,Risk Accepted,-38,1,31,6,1.97,3.36,Low,Open
R01046,Data Privacy risk affecting erp system,Potential data privacy event may affect the erp system used by Human Resources.,Human Resources,Data Privacy,ERP System,N. Silva,3,3,3,3,2,0,0,3,0,0,6,0.752,0.818,351,1,GDPR,In Progress,-179,0,898,9,2.23,3.31,Low,Overdue
R01047,Regulatory Compliance risk affecting payment system,Potential regulatory compliance event may affect the payment system used by Customer Support.,Customer Support,Regulatory Compliance,Payment System,S. Jayasinghe,2,3,5,3,12,0,0,0,5,1,1,0.831,0.986,290,3,NIST CSF,Risk Accepted,-214,1,522,6,1.01,6.17,Medium,Open
R01048,Business Continuity risk affecting hr platform,Potential business continuity event may affect the hr platform used by Human Resources.,Human Resources,Business Continuity,HR Platform,K. Fernando,3,3,5,3,11,1,0,2,2,0,1,0.418,0.386,264,4,None,Implemented,-305,0,33,9,5.24,6.41,Medium,Closed
R01049,Access Management risk affecting vendor service,Potential access management event may affect the vendor service used by Customer Support.,Customer Support,Access Management,Vendor Service,D. Senanayake,3,3,4,3,3,0,0,2,1,1,4,0.474,0.5,210,1,None,In Progress,-68,0,10,9,4.73,4.74,Low,Overdue
R01050,Access Management risk affecting erp system,Potential access management event may affect the erp system used by Procurement.,Procurement,Access Management,ERP System,S. Jayasinghe,4,4,3,3,5,1,1,0,1,1,5,0.669,0.673,290,1,None,Implemented,-147,0,687,16,5.3,8.53,Medium,Closed
R01051,Data Privacy risk affecting vendor service,Potential data privacy event may affect the vendor service used by Human Resources.,Human Resources,Data Privacy,Vendor Service,N. Silva,2,4,3,3,4,4,0,0,4,1,5,0.615,0.579,415,2,SOX,In Progress,-59,0,861,8,3.08,5.74,Medium,Overdue
R01052,Access Management risk affecting erp system,Potential access management event may affect the erp system used by Information Technology.,Information Technology,Access Management,ERP System,S. Jayasinghe,5,3,3,3,6,1,1,1,1,0,3,0.801,0.734,402,2,PCI DSS,Not Started,60,0,261,15,2.99,3.92,Low,Open
R01053,Business Continuity risk affecting network infrastructure,Potential business continuity event may affect the network infrastructure used by Customer Support.,Customer Support,Business Continuity,Network Infrastructure,N. Silva,4,2,3,3,14,1,1,6,5,0,7,0.501,0.299,304,4,None,In Progress,-88,0,332,8,4.0,7.64,Medium,Overdue
R01054,Operational risk affecting network infrastructure,Potential operational event may affect the network infrastructure used by Information Technology.,Information Technology,Operational,Network Infrastructure,N. Silva,3,4,2,2,5,3,1,2,6,0,7,0.606,0.552,492,2,SOX,In Progress,-31,0,31,12,4.72,7.33,Medium,Overdue
R01055,Financial risk affecting network infrastructure,Potential financial event may affect the network infrastructure used by Sales.,Sales,Financial,Network Infrastructure,R. Gunawardena,3,1,4,4,1,0,0,1,2,1,7,0.682,0.82,4,3,ISO 27001,Implemented,-226,0,65,3,0.95,4.44,Low,Closed
R01056,Third-Party risk affecting database,Potential third-party event may affect the database used by Information Technology.,Information Technology,Third-Party,Database,T. Karunaratne,3,4,4,4,12,0,1,1,0,1,6,0.477,0.471,382,1,PCI DSS,Implemented,-37,0,122,12,6.28,6.65,Medium,Closed
R01057,Business Continuity risk affecting payment system,Potential business continuity event may affect the payment system used by Sales.,Sales,Business Continuity,Payment System,K. Fernando,1,2,4,4,15,2,2,1,3,0,6,0.741,0.602,57,2,GDPR,Risk Accepted,-7,1,301,2,0.52,4.14,Low,Open
R01058,Cybersecurity risk affecting web application,Potential cybersecurity event may affect the web application used by Finance.,Finance,Cybersecurity,Web Application,K. Fernando,3,3,4,4,6,0,1,0,0,0,2,0.934,1.0,265,0,Local Privacy Law,In Progress,-111,0,421,9,0.59,1.29,Low,Overdue
R01059,Access Management risk affecting web application,Potential access management event may affect the web application used by Procurement.,Procurement,Access Management,Web Application,T. Karunaratne,3,4,3,3,8,1,0,1,1,0,2,0.613,0.537,182,4,None,Planned,-147,0,837,12,4.64,6.43,Medium,Overdue
R01060,Regulatory Compliance risk affecting cloud service,Potential regulatory compliance event may affect the cloud service used by Information Technology.,Information Technology,Regulatory Compliance,Cloud Service,A. Perera,3,3,2,4,5,0,1,2,3,0,2,0.645,0.5,284,1,ISO 27001,Risk Accepted,-100,1,250,9,3.2,3.72,Low,Open
